596495	2.72233e+06	51.7451
596495	2.72233e+06	51.7582
596495	2.72233e+06	51.7697
596495	2.72233e+06	51.7622
596495	2.72233e+06	51.7903
596495	2.72233e+06	51.783
596494	2.72233e+06	51.8023
596494	2.72233e+06	51.8169
596494	2.72233e+06	51.8302
596494	2.72233e+06	51.8164
596494	2.72233e+06	51.8062
596494	2.72232e+06	51.7284
596494	2.72232e+06	51.3113
596494	2.72232e+06	51.4967
596494	2.72232e+06	51.7016
596494	2.72232e+06	51.7893
596494	2.72232e+06	51.8257
596493	2.72232e+06	51.6755
596493	2.72232e+06	51.5769
596493	2.72232e+06	51.4966
596493	2.72232e+06	51.5975
596493	2.72232e+06	51.5132
596493	2.72232e+06	51.6565
596493	2.72231e+06	51.6369
596493	2.72231e+06	51.6419
596493	2.72231e+06	51.7264
596493	2.72231e+06	51.6601
596493	2.72231e+06	51.7117
596493	2.72231e+06	51.7599
596493	2.72231e+06	52.2028
596492	2.72231e+06	51.5302
596493	2.72231e+06	51.9019
596493	2.72231e+06	52.2289
596493	2.72231e+06	52.3214
596493	2.7223e+06	52.3207
1603507574.146094	794783.459626	2490975.204331	0
1603507575.146091	794781.462853	2490974.592873	0
1603507576.131379	794779.339506	2490973.933911	0
1603507577.136078	794777.326581	2490973.306178	0
1603507578.136117	794775.420085	2490972.700348	0
1603507579.136124	794773.598751	2490972.105969	0
1603507580.136116	794771.877718	2490971.518569	0
1603507581.146148	794770.253714	2490970.950564	0
1603507582.131469	794768.767874	2490970.406956	0
1603507583.131726	794767.741961	2490970.014167	0
1603507584.141166	794766.853696	2490969.665474	0
1603507585.146220	794766.031359	2490969.336194	0
1603507586.146206	794765.258080	2490969.012062	0
1603507587.146228	794764.540519	2490968.709259	0
1603507588.136533	794763.886387	2490968.412010	0
1603507589.146255	794763.297724	2490968.115106	0
1603507590.146260	794762.759731	2490967.838103	0
1603507591.136542	794762.274770	2490967.574581	0
1603507592.146284	794761.835401	2490967.334055	0
1603507593.147532	794761.358430	2490967.075968	0
1603507594.146325	794760.731243	2490966.691217	0
1603507595.146348	794759.938506	2490966.185180	0
1603507596.146348	794759.139644	2490965.631455	0
1603507597.146358	794758.402842	2490965.078900	0
1603507598.146372	794757.749327	2490964.543702	0
1603507599.146358	794757.184632	2490964.037729	0
1603507600.136676	794756.714000	2490963.585225	0
1603507601.136403	794756.293636	2490963.159759	0
1603507602.516448	794755.777267	2490962.603208	0
1603507603.131415	794755.080717	2490961.773914	0
1603507604.136422	794754.402723	2490960.839422	0
1603507605.126765	794753.850495	2490959.939611	0
1603507606.136482	794753.404061	2490959.089505	0
1603507607.129026	794753.048052	2490958.273894	0
1603507608.146534	794752.779325	2490957.530046	0
1603507609.136667	794752.584975	2490956.836587	0
1603507610.136874	794752.445603	2490956.213085	0
1603507611.137348	794752.311442	2490955.354591	0
1603507612.138006	794752.221537	2490954.044684	0
1603507613.123914	794752.288056	2490952.609270	0
1603507614.129935	794752.486127	2490951.353095	0
1603507615.119253	794752.712692	2490950.278184	0
1603507616.114856	794752.948406	2490949.327204	0
1603507617.129927	794753.243217	2490948.224626	0
1603507618.130250	794753.671099	2490946.895903	0
1603507619.140576	794754.040803	2490945.690312	0
1603507620.140904	794754.352390	2490944.661846	0
