time,io,ctlmode,ctlbrake,ctlthrottle,ctlgear_location,vehicle_speed,engine_rpm,driving_mode,throttle_percentage,brake_percentage,gear_location,imu
1590560512.4718,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.4755,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.4818,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.4875,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.4917,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.4976,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.5018,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.5076,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.5118,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.5176,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.5217,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.5276,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.5317,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.5375,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.5418,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.5475,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.5517,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.5576,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.5617,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.5675,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.5717,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.5776,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.5817,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.5875,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.5917,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.5975,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.6017,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.6075,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.6117,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.6176,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.6217,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.6276,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.6317,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.6376,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.6417,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.6475,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.6517,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.6576,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.6617,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.6655,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.6717,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.6776,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.6819,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.6875,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.6917,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.6976,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.7017,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.7075,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.7117,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.7176,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.7217,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.7275,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.7317,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.7376,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.7417,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.7475,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.7517,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.7576,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.7617,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.7675,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.7717,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.7776,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.7817,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.7875,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.7917,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.7976,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.8017,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.8075,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.8118,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.8176,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.8217,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.8276,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.8317,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.8375,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
